区域,小区名称,户型,面积(㎡),价格(元/月)
西城,京禧阁,2室1厅,97.54平米,12000
西城,京宝花苑,2室1厅,152.24平米,14000
西城,工体北里,2室1厅,44.7平米,7300
西城,正西国际大厦,4室1厅,312.09平米,40000
西城,体育馆路13号,1室1厅,44.52平米,4700
西城,冠城名敦道,3室2厅,174.97平米,21000
西城,万国城MOMA,3室2厅,245.19平米,40000
西城,交道口西大街,1室1厅,52.42平米,8400
西城,工体3号,1室1厅,101.44平米,18000
西城,金隆基大厦,1房间1卫,35.54平米,5900
西城,南弓匠营大同,2室1厅,80.48平米,8400
西城,交道口西大街,1室1厅,82.44平米,10000
西城,崇文门西大街,2室0厅,48.11平米,7500
西城,鼎盛苑,1室1厅,59.24平米,5200
西城,前门西大街,1室0厅,37.35平米,4400
西城,西直门南大街,2室1厅,51.49平米,8300
西城,新中西街,2室1厅,48.51平米,8000
西城,中海紫御公馆,4室2厅,215.88平米,27000
西城,永定门西街西里,2室1厅,40.77平米,4400
西城,水上华城,2室1厅,74.4平米,8400
西城,海晟名苑北苑,1室1厅,93.79平米,13400
西城,华世隆国际公寓,3室1厅,144.94平米,15000
西城,雍和家苑一期,3室2厅,159.42平米,19000
西城,交道口北三条,1室0厅,13.4平米,3000
西城,安德路47号院,3室1厅,71.01平米,9400
西城,小羊宜宾大同,2室1厅,49.37平米,8000
西城,豆瓣大同,2室1厅,71.58平米,9400
西城,广渠家苑,1室1厅,41.34平米,4800
西城,豆瓣大同,1室1厅,47.99平米,7400
西城,金鱼池西苑,4室2厅,104.84平米,11000
西城,京宝花苑,2室1厅,152.24平米,14000
西城,当代MOMA,1室1厅,104.58平米,24000
西城,交道口西大街,3室1厅,93.28平米,10400
西城,万国城MOMA,2室1厅,114.54平米,20000
西城,国瑞城西苑,1室0厅,51.98平米,11400
西城,左安浦苑,1室0厅,39.01平米,4200
西城,天娇苑,3室2厅,137.84平米,19000
西城,景泰西里,1室1厅,41.73平米,4700
西城,左安浦苑,2室1厅,54.91平米,5400
西城,当代MOMA,2室2厅,141.41平米,28000
西城,冠城名敦道,3室2厅,174.97平米,21000
西城,新景家苑西苑,1室1厅,49.87平米,7800
西城,香饵大同,3室1厅,80.89平米,13400
西城,宝钞苑,4室1厅,138.48平米,13000
西城,六铺炕,3室1厅,45.53平米,8000
西城,盛德大厦,2室1厅,105平米,18000
西城,冠城名敦道,1室0厅,79.28平米,13000
西城,冠城名敦道,1室0厅,75.53平米,11000
西城,冠城名敦道,1室0厅,75.53平米,11000
西城,雍和家苑二期,1室0厅,204.94平米,50000
西城,聚龙花苑,3室1厅,239.81平米,30000
西城,聚龙花苑,2室1厅,194.72平米,34000
西城,盛德大厦,1室1厅,57.88平米,9400
西城,当代MOMA,4室2厅,290.21平米,40000
西城,当代MOMA,4室2厅,290.21平米,44000
西城,凯景铭座,4室1厅,178.91平米,22000
西城,太华公寓,2室1厅,140.31平米,18000
西城,织染局大同,4室0厅,43.7平米,30000
西城,盛德大厦,4室2厅,207.25平米,28000
西城,北总布大同,1室1厅,41.07平米,4000
西城,中海紫御公馆,2室2厅,90.05平米,13000
西城,民安小苑西直门内北小街,1室1厅,41.57平米,7400
西城,兴隆都市馨苑,1室2厅,72.5平米,8400
西城,西营房,2室1厅,89.31平米,9200
西城,法华南里,3室2厅,184.09平米,14000
西城,新奥洋房,1室1厅,45.14平米,5000
西城,青年湖西里,1室1厅,35.44平米,5200
西城,安德路44号院,2室1厅,54.34平米,4000
西城,安贞苑40号院,2室1厅,54.82平米,7200
西城,幸福家苑三期,2室2厅,93.7平米,12400
西城,左安漪苑,3室1厅,112.47平米,8800
西城,鸿安国际大厦,2室1厅,142.55平米,22000
西城,史家大同20号院,3室1厅,71.43平米,10000
西城,安化北里,2室1厅,48.25平米,5400
西城,和平里七苑,1室1厅,43.23平米,5200
西城,安外花苑,2室1厅,52平米,8000
西城,六铺炕,1室1厅,38.15平米,4900
西城,龙潭北里五条,2室1厅,49.3平米,7000
西城,北官厅大同2号院,3室0厅,45.92平米,5000
西城,和平里三苑,1室1厅,40.47平米,5900
西城,万国城MOMA,1室0厅,49.11平米,10000
西城,本家润苑三期,2室1厅,53.09平米,7800
西城,新景家苑西苑,1室1厅,47.24平米,7400
西城,营房西街,2室1厅,52.94平米,7400
西城,海晟名苑北苑,1室1厅,70.85平米,12000
西城,永定门西街西里,2室1厅,43.25平米,4000
西城,西花市北里西苑,2室1厅,84.35平米,8800
西城,幸福家苑一期,4室2厅,225.85平米,29000
西城,景泰西里西苑,1室1厅,50.3平米,5200
西城,西青年沟,2室1厅,41.88平米,7300
西城,工体3号,1室1厅,101.44平米,18000
西城,南弓匠营大同,2室1厅,80.48平米,8400
西城,西花市北里中苑,3室2厅,124.54平米,14000
西城,前门前酒店公寓,3房间1卫,102.77平米,9400
西城,新景家苑西苑,3室1厅,91.4平米,11400
西城,太华公寓,3室2厅,233.71平米,24000
西城,天坛西里西苑,2室1厅,45.98平米,4000
西城,万国城MOMA,1室0厅,99平米,14000
西城,国瑞城中苑,4室2厅,344.9平米,40000
西城,兴隆都市馨苑,1室0厅,28.74平米,4000
西城,凯德华玺,3房间2卫,171.79平米,30000
西城,建国门北大街4号,4室1厅,277.59平米,47000
西城,灵光西巷,9室1厅,122.5平米,40000
西城,水上华城,3室1厅,151.74平米,21000
西城,国瑞城西苑,4室2厅,248.84平米,38000
西城,恒基中心,3室2厅,158.14平米,20000
西城,北总布大同,1室1厅,41.07平米,4000
西城,织染局大同,4室0厅,43.7平米,30000
西城,永康大同4号院,2室1厅,47.54平米,8300
西城,西环居苑,3室1厅,101.79平米,9000
西城,民安小苑西直门北中街,3室1厅,113.41平米,17000
西城,鸿安国际大厦,4室2厅,242.44平米,30000
西城,西四三条,2室1厅,34.7平米,5000
西城,青年湖南街5号院,2室1厅,48.2平米,9400
西城,凯德华玺,2房间1卫,73.58平米,12000
西城,西营房,2室1厅,89.31平米,9200
西城,兴隆都市馨苑,1室2厅,72.5平米,8400
西城,安德路47号院,2室1厅,79.89平米,7400
西城,竹杆大同,2室1厅,58.35平米,8800
西城,国瑞城中苑,3室1厅,143.35平米,19000
西城,西直门内北小街8号院,4室2厅,190.34平米,24000
西城,新景家苑西苑,1室1厅,48.97平米,7200
西城,国瑞城西苑,1室1厅,73.44平米,12800
西城,安馨苑,1室1厅,51.77平米,8900
西城,安定路,3室1厅,91.24平米,13000
西城,盛德大厦,1室1厅,78平米,13000
西城,大家苑小苑,2室1厅,72.07平米,7500
西城,交道口北三条,1室1厅,14.7平米,3500
西城,太华公寓,2室1厅,140.31平米,18000
西城,民安小苑西直门北中街,3室1厅,113.41平米,17000
西城,西四三条,2室1厅,34.7平米,5000
西城,恒基中心,1室1厅,83.29平米,10000
西城,使馆壹号院,2室2厅,204.82平米,44000
西城,正西国际大厦,3室1厅,210.44平米,24000
西城,凯德华玺,2房间1卫,73.58平米,12000
西城,国瑞城西苑,3室1厅,241.13平米,35800
西城,广渠家苑,1室1厅,41.04平米,4400
西城,贡院九号,2室1厅,144.95平米,24000
西城,仓南大同,2室1厅,57.78平米,9000
西城,新景家苑西苑,1室1厅,48.97平米,7200
西城,国瑞城西苑,1室1厅,73.44平米,12800
西城,西直门内北小街8号院,3室1厅,92.8平米,14000
西城,灵光大同,3室1厅,55.04平米,8200
西城,灯市口西街,3室1厅,77.07平米,13000
西城,前门前,2室1厅,80.81平米,11000
西城,林调社苑,3室1厅,70.47平米,7500
西城,青年湖西里,2室1厅,50.44平米,7400
西城,西环居苑,2室1厅,84.22平米,7700
西城,石桥西巷,1室0厅,18.2平米,3300
西城,三秀涵雅,1室1厅,55.49平米,8300
西城,西革新里110号院,2室1厅,50.29平米,4700
西城,海运仓小苑,3室1厅,77.39平米,13000
西城,西直门内北小街8号院,3室1厅,90.75平米,14000
西城,天坛西里中苑,2室1厅,40.44平米,4000
西城,西水井大同,3室1厅,87.13平米,12400
西城,西总布大同,1室1厅,44.84平米,7000
西城,国瑞城西苑,1室1厅,73.44平米,12800
西城,新景家苑西苑,1室1厅,48.97平米,7200
西城,富贵苑四苑,1室1厅,44.4平米,7700
西城,骑河楼大街,1室1厅,41.31平米,5400
西城,左安漪苑,2室1厅,94.8平米,10000
西城,小雅宝大同,1室0厅,15.8平米,4000
西城,安定路,3室1厅,91.24平米,13000
西城,地兴居,2室1厅,47.21平米,7400
西城,西直门内北小街8号院,3室1厅,90.75平米,14000
西城,天坛西里中苑,2室1厅,40.44平米,4000
西城,海运仓小苑,3室1厅,77.39平米,13000
西城,金鱼池中苑,4室2厅,108.35平米,11400
西城,望陶苑小苑,2室1厅,88.95平米,5800
西城,和平里七苑,2室1厅,48.15平米,7300
西城,左安浦苑,1室0厅,39.01平米,4200
西城,天坛西里西苑,1室1厅,35.44平米,4100
西城,天坛西里西苑,3室1厅,58.31平米,7000
西城,金鱼池西苑,4室2厅,104.84平米,11000
西城,京宝花苑,2室1厅,152.24平米,14000
西城,和平里六苑,2室1厅,57.5平米,8000
西城,北新桥头条,2室1厅,40.23平米,7400
西城,贡院头条,4室1厅,79.14平米,14000
西城,六铺炕,2室1厅,48.28平米,8000
西城,华龙美晟,2室1厅,80.49平米,7000
西城,豆瓣大同,1室1厅,47.99平米,7200
西城,海运仓小苑,2室1厅,54.33平米,9400
西城,崇文门西大街,2室0厅,48.11平米,7500
西城,西直门南大街,2室1厅,51.49平米,8300
西城,鼎盛苑,1室1厅,59.24平米,5200
西城,前门西大街,1室0厅,37.35平米,4400
西城,安馨苑,1室1厅,51.77平米,8900
西城,宝利蔷薇,2室1厅,88.53平米,10300
西城,西直门内北小街8号院,3室1厅,92.8平米,14000
西城,幸福南里,3室1厅,55.44平米,4940
西城,青年湖西里,2室1厅,50.44平米,7400
西城,石桥西巷,1室0厅,18.2平米,3300
西城,西环居苑,2室1厅,84.22平米,7700
西城,水上华城,3室1厅,197.84平米,15400
西城,西水井大同,3室1厅,87.13平米,12400
西城,北官厅大同,2室1厅,43.37平米,8400
西城,花市枣苑一期,2室1厅,117.48平米,11000
西城,朝阳首府,2室1厅,87.55平米,14000
西城,兴隆都市馨苑,1室1厅,44.03平米,8000
西城,南弓匠营大同,3室1厅,84.84平米,13000
西城,建予苑,2室1厅,94.11平米,9000
西城,水上华城,2室1厅,131.94平米,13000
西城,雍和家苑一期,4室1厅,202.02平米,24000
西城,复康南里,2室1厅,40.4平米,4200
西城,朝阳门南小街,3室1厅,84平米,12400
西城,天娇苑,3室2厅,137.84平米,19000
西城,景泰西里,1室1厅,41.73平米,4700
西城,当代MOMA,2室2厅,141.41平米,28000
西城,左安浦苑,2室1厅,54.91平米,5400
西城,冠城名敦道,3室2厅,174.97平米,21000
西城,万国城MOMA,2室1厅,114.54平米,20000
西城,国瑞城西苑,1室0厅,51.98平米,11400
西城,绿景馨苑,2室1厅,84.23平米,8400
西城,交道口西大街,1室1厅,82.44平米,10000
西城,兴隆都市馨苑,1室1厅,93.49平米,14000
西城,雍和家苑二期,1室0厅,204.94平米,50000
西城,凯德华玺,5房间4卫,242.21平米,44000
西城,朝阳首府,4室2厅,243.74平米,40000
西城,烧酒大同3号院,3室1厅,114.1平米,17000
西城,西总布大同19号院,2室1厅,54.2平米,7400
西城,当代MOMA,4室2厅,290.21平米,40000
西城,水上华城,3室1厅,155.49平米,15400
西城,恒基中心,1房间0卫,200.98平米,44000
西城,恒基中心,1房间0卫,199.8平米,44000
西城,新奥洋房,1室1厅,44.05平米,4200
西城,雍和家苑二期,2室2厅,185.35平米,42000
西城,沙滩后街,2室1厅,41.21平米,7800
西城,沙滩北街2号院,2室1厅,40.45平米,7200
西城,新太仓一巷,5室0厅,103.5平米,40000
西城,新景家苑西苑,1室1厅,49.38平米,7000
西城,大家苑小苑,2室1厅,72.07平米,7500
西城,交道口北三条,1室1厅,14.7平米,3500
西城,凯景铭座,4室1厅,178.91平米,22000
西城,太华公寓,2室1厅,140.31平米,18000
西城,远洋德邑,3室2厅,127.42平米,10000
西城,万国城MOMA,3室2厅,140.05平米,20000
西城,盛德大厦,4室2厅,207.25平米,28000
西城,中海紫御公馆,4室4厅,281.29平米,42000
西城,演乐大同,2室1厅,45.34平米,7800
西城,西皇城根南街,2室2厅,80.08平米,11400
西城,恒基中心,2室1厅,107.84平米,14000
西城,西方银座,3室1厅,138.54平米,23000
西城,天玉大厦,1房间0卫,220.48平米,33000
西城,万国城MOMA,3室2厅,241.84平米,37000
西城,华普花苑,3室2厅,175.03平米,23000
西城,沙滩北街2号院,2室1厅,40.45平米,7200
西城,新景家苑西苑,1室1厅,49.38平米,7000
西城,新太仓一巷,5室0厅,103.5平米,40000
西城,万国城MOMA,1室0厅,99平米,14000
西城,水上华城,2室1厅,131.94平米,12000
西城,西直门内南小街,1室1厅,31.1平米,14000
西城,西四三条,2室1厅,34.7平米,5000
西城,青年湖南街5号院,2室1厅,48.2平米,9400
西城,凯德华玺,2房间1卫,73.58平米,12000
西城,美惠大厦,3室1厅,194.4平米,22000
西城,西方银座,3室1厅,138.54平米,23000
西城,天玉大厦,1房间0卫,220.48平米,33000
西城,富贵苑三苑,2室1厅,104.17平米,11400
西城,宇飞大厦,2房间2卫,74.17平米,15800
西城,当代MOMA,4室2厅,331.87平米,50000
西城,朝阳首府,4室2厅,243.74平米,40000
西城,凯德华玺,5房间4卫,242.21平米,44000
西城,朝阳首府,3室1厅,183.39平米,28000
西城,当代MOMA,3室1厅,182.3平米,34000
西城,京宝花苑,3室1厅,194.83平米,24000
西城,西四六条,1室1厅,37.7平米,13000
西城,当代MOMA,4室2厅,331.87平米,44000
西城,盛德大厦,3室1厅,144.42平米,23000
西城,雍和家苑一期,3室1厅,171.17平米,19000
西城,盛德大厦,1室1厅,78平米,13000
西城,雍和家苑二期,2室2厅,185.35平米,42000
西城,沙滩后街,2室1厅,41.21平米,7800
西城,兴隆都市馨苑,1室0厅,28.74平米,4000
西城,凯德华玺,3房间2卫,171.79平米,30000
西城,国瑞城中苑,4室2厅,344.9平米,40000
西城,和平里一苑,1室1厅,37.7平米,5000
西城,地坛北门,1室1厅,33.75平米,5000
西城,幸福家苑二期,2室1厅,54.24平米,7800
西城,菊儿大同,2室1厅,47.09平米,8000
西城,交道口北二条34号院,1室1厅,42.57平米,4400
西城,安外西河沿,1室1厅,37.52平米,4500
西城,安外花苑,2室1厅,52平米,8000
西城,六铺炕,1室1厅,38.15平米,4900
西城,龙潭北里五条,2室1厅,49.3平米,7000
西城,禾风仕家,3室2厅,74.47平米,20000
西城,海晟名苑北苑,1室0厅,44.52平米,9000
西城,凯景铭座,3室1厅,145.2平米,15000
西城,安外大街3号院,1室1厅,33.77平米,4400
西城,中海紫御公馆,2室2厅,90.14平米,13000
西城,永定门西街西里,2室1厅,43.25平米,4000
西城,本家润苑三期,2室1厅,53.09平米,7800
西城,营房西街,2室1厅,52.94平米,7400
西城,新景家苑西苑,1室1厅,47.24平米,7400
西城,西花市北里西苑,2室1厅,84.35平米,8800
西城,幸福家苑一期,4室2厅,225.85平米,29000
西城,景泰西里西苑,1室1厅,50.3平米,5200
西城,海晟名苑北苑,1室1厅,70.85平米,12000
西城,西青年沟,2室1厅,41.88平米,7300
西城,演乐大同,1室1厅,28平米,4400
西城,中景濠庭,3室1厅,203.15平米,28000
西城,海晟名苑北苑,1室1厅,74.52平米,13000
西城,演乐大同,1室1厅,32.33平米,5400
西城,兴隆都市馨苑,1室1厅,43.19平米,7200
西城,海晟名苑北苑,1室0厅,44.43平米,8500
西城,美术馆后街,3室1厅,75.47平米,12000
西城,海晟名苑北苑,1室0厅,44.52平米,9000
西城,安外大街3号院,1室1厅,33.77平米,4400
西城,幸福南里,2室1厅,41.55平米,4400
西城,西四四条,2室1厅,18.1平米,8800
西城,美术馆后街,3室1厅,75.47平米,12000
西城,海晟名苑北苑,1室0厅,44.43平米,8500
西城,西京上舍,1室1厅,51.05平米,5400
西城,演乐大同,1室1厅,32.33平米,5400
西城,煤渣大同,1室1厅,41.1平米,7400
西城,芳嘉苑大同,2室1厅,72.44平米,9500
西城,金桥国际,1室1厅,53.95平米,7400
西城,民旺苑,3室1厅,54.41平米,8000
西城,交林,2室1厅,44.2平米,7200
西城,青年湖西里,2室1厅,51.2平米,8000
西城,朝阳门南小街,2室1厅,59.48平米,9800
西城,富贵苑二苑,3室1厅,104.27平米,12000
西城,分司厅大同11号院,1室1厅,32.19平米,4800
西城,土儿大同,2室1厅,59.59平米,10000
西城,幸福家苑二期,2室1厅,54.24平米,7800
西城,豆瓣大同,2室1厅,71.58平米,8000
西城,新景家苑西苑,2室1厅,92.74平米,10400
西城,左安浦苑,2室1厅,74.14平米,7400
丰台,西滨河路2号院,2室1厅,83.24平米,5300
丰台,角门西里,2室1厅,49.5平米,4400
丰台,上海建筑,2室1厅,81.2平米,5900
丰台,诚苑南里,2室1厅,75.24平米,4300
丰台,新村三里,2室1厅,54.49平米,5200
丰台,刘家窑南里,2室1厅,42.8平米,4700
丰台,南曦大厦,2室1厅,142.23平米,8000
丰台,建欣苑三里,2室1厅,54.99平米,4500
丰台,诚苑南里,2室1厅,74.34平米,4500
丰台,芳群苑一苑,2室1厅,45.22平米,5700
丰台,城市涧,1室0厅,38.37平米,4000
丰台,南苑北里二苑,3室1厅,81.87平米,4500
丰台,天伦锦城,1室1厅,50.43平米,4400
丰台,莲馨嘉苑,2室2厅,111.09平米,8500
丰台,棉花城,4室1厅,175.77平米,24000
丰台,首科花苑,2室1厅,94.24平米,7900
丰台,怡海花苑富泽苑,2室1厅,104.55平米,8000
丰台,恋日花都,3室2厅,151.11平米,13000
丰台,中景理想家,2室1厅,85.17平米,7000
丰台,芳古苑二苑,3室2厅,148.92平米,15000
丰台,怡海花苑恒丰苑,3室2厅,203.23平米,14000
丰台,恒富中街5号院,3室2厅,150.25平米,9400
丰台,一栋苑,2室1厅,90.94平米,7000
丰台,新村二里,2室1厅,44.9平米,4800
丰台,南庭新苑北苑,2室1厅,58平米,4800
丰台,六里桥3号院,2室1厅,75.24平米,5000
丰台,北大地二里,2室1厅,51.4平米,4200
丰台,和光里,2室1厅,95.31平米,4800
丰台,康乐苑,2室1厅,52.01平米,4000
丰台,天创公馆,3室2厅,137.33平米,14000
丰台,刘家窑南里,2室1厅,54.1平米,5000
丰台,新华街一里,2室1厅,42.3平米,4500
丰台,西丽温泉,2室1厅,78.83平米,4800
丰台,久敬佳苑二苑,2室2厅,104.47平米,4400
丰台,银海星月,2室1厅,55.42平米,4300
丰台,珠江峰景,3室1厅,125.99平米,8000
丰台,华源二里,2室1厅,94.17平米,7400
丰台,中海苏黎世家,3室1厅,131.54平米,14000
丰台,福顺里,2室1厅,81.73平米,4500
丰台,方庄5号,3室1厅,140.48平米,14000
丰台,广安﹒康馨家苑,3室1厅,93.84平米,5200
丰台,熙公馆,1房间1卫,43.24平米,4300
丰台,程庄路3号院,2室1厅,54.3平米,4800
丰台,7克拉,4房间1卫,44.49平米,8200
丰台,日月天地,3室2厅,213.12平米,15000
丰台,天伦锦城,2室1厅,91.49平米,4400
丰台,芳群苑一苑,1室1厅,41.28平米,4300
丰台,彩虹城四苑,1室0厅,44.44平米,4800
丰台,新华街五里,2室1厅,58.72平米,4000
丰台,亚胜铂第公馆,1房间1卫,40.47平米,5200
丰台,宝利百合,3室1厅,84.95平米,13000
丰台,玉林西里三苑,3室1厅,74.7平米,5500
丰台,看丹苑,3室2厅,142.54平米,9000
丰台,西府兰庭,3室2厅,143.12平米,13400
丰台,万年花城三期,2室1厅,94.98平米,7300
丰台,贾家花苑甲1号院,2室1厅,47.03平米,4400
丰台,晓月苑五里,3室1厅,117.9平米,5000
丰台,亚胜铂第公馆,1房间1卫,44.44平米,5400
丰台,福顺里,2室1厅,58.22平米,4000
丰台,西罗苑一苑,2室1厅,45.32平米,4100
丰台,角门西里,2室1厅,57.75平米,5100
丰台,前泥洼小苑,2室1厅,49.14平米,4300
丰台,西丽温泉,1室1厅,47.78平米,4100
丰台,新华街二里,2室1厅,44平米,4800
丰台,程庄南里,1室1厅,40.03平米,4000
丰台,上海建筑,2室1厅,94.44平米,8000
丰台,石榴苑南里小苑,1室1厅,48.08平米,4400
丰台,兴琦家苑,3室2厅,119.43平米,8000
丰台,中海御鑫阁,2室1厅,91.5平米,9000
丰台,博龙家苑,1室1厅,47.77平米,5000
丰台,南庭新苑北苑,2室1厅,48.84平米,4800
丰台,五里店,2室1厅,45.7平米,3800
丰台,万科紫苑,3室1厅,170.19平米,14400
丰台,天下儒寓,1室1厅,58.88平米,4000
丰台,领秀翡翠墅,3室2厅,142.94平米,4400
丰台,草桥欣苑三苑,2室1厅,74.18平米,5400
丰台,至善街4号,1室1厅,39.21平米,3400
丰台,久敬佳苑二苑,2室1厅,98.48平米,4700
丰台,领秀翡翠墅,4室1厅,141.03平米,4000
丰台,和义西里三苑,2室1厅,81.73平米,4400
丰台,和义西里三苑,1室1厅,50.49平米,3700
丰台,万科中粮假日风景,2室1厅,91.94平米,8000
丰台,洋桥西里,2室1厅,47.2平米,7000
丰台,广安﹒康馨家苑,2室1厅,78.42平米,4000
丰台,青秀城,3室1厅,90.44平米,8400
丰台,时代风帆大厦,2室1厅,131.43平米,15000
丰台,万恒家苑,3室1厅,119.94平米,8000
丰台,郑王坟141号院,2室1厅,42.4平米,4200
丰台,和义西里四苑,2室1厅,83.81平米,4100
丰台,菊源南里,2室2厅,84.72平米,4500
丰台,大井南里,2室1厅,40.73平米,4400
丰台,润景家苑,1室1厅,53.24平米,5200
丰台,西马金润二苑,3室1厅,124.84平米,8200
丰台,中海九号公馆,4室2厅,179.3平米,24000
丰台,太平桥西里,3室1厅,70平米,7400
丰台,宏大家苑,2室1厅,74.29平米,4400
丰台,嘉特美公馆,2房间1卫,48.97平米,5000
丰台,石榴苑北里小苑,2室1厅,48.44平米,4000
丰台,星河城西苑,1室1厅,44.27平米,4700
丰台,中海九号公馆,4室2厅,172.57平米,25000
丰台,华源二里,3室1厅,91.42平米,8000
丰台,和义西里三苑,2室1厅,48.97平米,3400
丰台,贾家花苑甲1号院,2室1厅,48.4平米,4400
丰台,中海御鑫阁,1室0厅,37.1平米,4800
丰台,上海建筑,3室1厅,95.27平米,8400
丰台,顺驰蓝调,3室1厅,143.58平米,10400
丰台,博龙家苑,2室1厅,93.14平米,5800
丰台,风景club,3室2厅,151.42平米,14000
丰台,芳苑,1室1厅,44.73平米,4200
丰台,和义西里四苑,2室1厅,44.12平米,3800
丰台,太平桥小苑,2室1厅,40.4平米,5400
丰台,紫芳苑三苑,3室1厅,118.85平米,12000
丰台,星河城西苑,1室1厅,50.87平米,5400
丰台,明月嘉苑,1室0厅,41.78平米,4700
丰台,明日嘉苑,1室0厅,39.14平米,4800
丰台,正阳小苑,2室1厅,54.41平米,4400
丰台,万科紫苑,3房间2卫,81.14平米,9400
丰台,天下儒寓,2室2厅,104.5平米,5300
丰台,紫芳苑二苑香苑,4室2厅,194.8平米,28000
丰台,中海九号公馆,4室2厅,179.71平米,23000
丰台,玺萌鹏苑,2室1厅,82.74平米,7800
丰台,南苑北里四苑,2室1厅,44.14平米,3400
丰台,太平桥西里,3室1厅,84.32平米,7800
丰台,久敬佳苑一苑,2室1厅,114.44平米,5400
丰台,万年花城二期,2室1厅,81.35平米,7400
丰台,西亚三环,2房间1卫,40.94平米,5000
丰台,蔚苑,1室1厅,44.39平米,4000
丰台,西亚三环,1房间1卫,43.43平米,4400
